,label,tempo,total_beats,average_beats,chroma_stft_mean,chroma_stft_std,chroma_stft_var,chroma_cq_mean,chroma_cq_std,chroma_cq_var,chroma_cens_mean,chroma_cens_std,chroma_cens_var,melspectrogram_mean,melspectrogram_std,melspectrogram_var,mfcc_mean,mfcc_std,mfcc_var,mfcc_delta_mean,mfcc_delta_std,mfcc_delta_var,rmse_mean,rmse_std,rmse_var,cent_mean,cent_std,cent_var,spec_bw_mean,spec_bw_std,spec_bw_var,contrast_mean,contrast_std,contrast_var,rolloff_mean,rolloff_std,rolloff_var,poly_mean,poly_std,poly_var,tonnetz_mean,tonnetz_std,tonnetz_var,zcr_mean,zcr_std,zcr_var,harm_mean,harm_std,harm_var,perc_mean,perc_std,perc_var,frame_mean,frame_std,frame_var
259,pop,123.046875,157802,1304.1487603305786,0.35466865,0.30275667,0.0916616,0.3814105,0.27546513,0.07588104,0.23751475,0.16407336,0.026920067,14.23416,101.20903,10243.269,1.50756,28.74186,826.0945,0.012695267,2.764039,7.6399117,0.23981084,0.09712855,0.009433955,2611.092259038538,678.7609133803318,460716.37753290223,2629.134914627507,433.52476646405563,187943.723137714,21.412610676735813,6.941499699996942,48.18441808505763,5682.8823030548565,1574.0414091773218,2477606.3578049294,2.9581209089764826,3.4923453684308665,12.196476172400525,-0.016406080206310198,0.14279188580358212,0.02038952265134324,0.1150826374443692,0.05248476686330143,0.002754650752695104,0.00016144908,0.20208101,0.040836737,0.0006415934,0.10659882,0.011363307,3.291428571428571,1.6985499989612045,2.885072098971108
260,pop,117.45383522727273,141485,1286.2272727272727,0.3561213,0.30747485,0.09454078,0.32513118,0.28053656,0.07870076,0.22133364,0.18532336,0.034344748,10.496843,97.45434,9497.349,-1.7736822,41.99054,1763.2053,0.0101254005,3.255773,10.600058,0.1848848,0.11449682,0.013109522,2845.105019861639,1165.02650162183,1357286.7494812,2820.9865215312007,774.0544697174807,599160.3220896103,21.30015055291893,6.418132114502536,41.1924198392088,6353.15325001814,2356.585101916826,5553493.342576337,2.0526939139758014,2.9356935790479146,8.618296790063154,0.020175485714612532,0.17383709581532777,0.030219335881507454,0.11635738408233359,0.08524815875707353,0.007267248571471212,4.6328394e-05,0.1683813,0.028352262,0.00012787202,0.092464566,0.008549696,5.232616780045352,2.7211297820592644,7.404547290809899
261,pop,161.4990234375,206118,1280.2360248447205,0.3272709,0.31026796,0.09626621,0.26790178,0.28884244,0.083429955,0.19690901,0.21109281,0.04456018,13.276351,85.675835,7340.349,0.3243833,39.54484,1563.7946,0.01203558,4.43354,19.656275,0.2379795,0.05045289,0.0025454941,2713.542884664662,1097.853285390475,1205281.83624266,2931.0732472177497,810.6088609002904,657086.7253700664,21.82592477290905,7.283445070661781,53.048572097347396,6416.498700310202,2611.5751306142747,6820324.662842966,2.2243437801077124,2.6728017923544343,7.1438694212130756,-0.04693652093262768,0.2501458185614238,0.06257293054376477,0.08120529127563854,0.0628810104739395,0.003954021478223689,-2.3375223e-06,0.20874004,0.043572403,-5.9998806e-06,0.08934617,0.007982738,4.026340136054422,2.4750271543085987,6.12575941456492
262,pop,99.38401442307692,121909,1283.2526315789473,0.32729438,0.30971453,0.095923096,0.33410802,0.27522188,0.07574709,0.22715323,0.17814244,0.03173473,14.983577,99.6361,9927.353,-2.9955165,35.140564,1234.8593,0.01254021,3.2544098,10.591184,0.25106087,0.09495235,0.009015949,2836.935756812302,1036.4048181327614,1074134.9470488022,2841.4247950868084,527.9489427619603,278730.0861634716,23.08067991279451,6.775142689574371,45.90255846409303,6198.766683572586,2222.1426438490957,4937917.92961265,2.570193935144791,3.2609829349499546,10.63400970203482,0.004610944576148197,0.18396264736582604,0.03384225562584327,0.11379390751983359,0.07514215241001139,0.00564634306880938,-9.06545e-06,0.2149404,0.046199374,3.554282e-05,0.11440286,0.013088015,2.5820589569160997,1.469780943894589,2.160256023035669
263,pop,99.38401442307692,122984,1481.7349397590363,0.36545345,0.30304098,0.09183383,0.3615118,0.27942544,0.07807858,0.23197052,0.17182261,0.02952301,13.810702,121.79223,14833.347,-0.6056335,37.285282,1390.1924,0.012700162,3.0649674,9.394026,0.22369276,0.11489412,0.013200659,2644.1937675812765,1079.8608521959188,1166099.4601052962,2595.208024851553,734.8907443156406,540064.4060807963,22.978845525787534,6.994485126517875,48.922822185079774,5739.311128504136,2048.2607531030812,4195372.112702401,2.343143840321466,2.9669219085724556,8.802625611567223,0.014618150481301374,0.17070987364528492,0.029141860959989146,0.10764220624516253,0.06821560348395678,0.004653368558680417,1.561921e-05,0.20124635,0.040500093,0.0001680972,0.10502101,0.011029412,9.679238095238095,4.144558806485063,17.17736770041289
264,pop,117.45383522727273,152766,1283.7478991596638,0.35074222,0.3143436,0.0988119,0.47737068,0.2829048,0.08003512,0.25152072,0.14167099,0.02007067,12.759456,104.42448,10904.472,-0.066290036,40.780247,1663.0284,0.007975978,3.4360518,11.806453,0.20652133,0.11789923,0.013900229,2183.4962814827522,986.8830041266572,973938.0638340557,2363.8527261701597,603.635867672226,364376.2607404012,20.791584967707895,6.8073032493621435,46.3393775287764,4664.7509595558,2085.137374803254,4347797.871801404,2.288235506814662,3.05575313279097,9.337627208561827,-0.04392659757423494,0.12284476897692162,0.015090837264993245,0.08896752702931501,0.05776920962642053,0.003337281580861318,-2.1644312e-06,0.15811719,0.025001045,-0.00011265579,0.13694695,0.018754467,7.583637188208617,2.8665257371958766,8.216969802006364
265,pop,95.703125,119105,1267.0744680851064,0.32985952,0.3085262,0.09518841,0.42061204,0.29669738,0.08802934,0.24388848,0.15444008,0.023851736,18.524986,146.7806,21544.545,-5.0684624,29.299387,858.45404,0.008442048,3.2310002,10.439363,0.27437016,0.11327366,0.012830921,2992.289195055653,1097.2676236549146,1203996.2379213034,2756.011468452991,446.5413226496683,199399.15283371517,21.64851731781242,6.806559279810357,46.32924922957248,6154.0919537145655,1950.7737216091784,3805518.112920924,3.0510689886321654,3.8079013823503534,14.500112937705733,0.039456815133608936,0.14196863331436083,0.02015509284514744,0.14189313292134287,0.10262537774292865,0.010531968156878796,1.7010714e-05,0.2197534,0.048291557,0.00010748966,0.14393786,0.020718105,2.306902494331066,1.4245830117041005,2.029436757235925
266,pop,99.38401442307692,116624,1227.621052631579,0.37567246,0.2961844,0.0877252,0.39029276,0.28363308,0.08044772,0.23283413,0.17065053,0.029121604,21.611315,159.26764,25366.18,-0.15952334,29.538027,872.495,0.014226458,2.901178,8.416833,0.29491764,0.115046516,0.0132357,2513.454872870745,854.7125943816976,730533.6189946923,2586.931933744123,439.5906824337649,193239.96808258316,21.38347033673635,7.103212703093726,50.45563070539208,5241.197473862592,1748.3779063879153,3056825.3035453903,3.657951904363103,4.334102429329985,18.78444386792407,0.0019861375793810807,0.16249831490653993,0.026405702347465015,0.10581549771429953,0.06418255848228042,0.004119400813331346,-1.3244482e-05,0.24439204,0.05972747,0.0002666774,0.14172286,0.02008537,3.3634104308390023,1.972661561576076,3.891393636519763
267,pop,143.5546875,178246,1310.6323529411766,0.38834524,0.30290464,0.091751225,0.41924194,0.27789623,0.07722631,0.2418915,0.15754943,0.024821823,13.902822,115.702354,13387.035,2.0663083,28.48674,811.4943,0.0075263553,2.6311448,6.922923,0.24411455,0.0872349,0.007609927,3244.1433433982565,1039.627391633455,1080825.1134345813,2800.7828916401427,522.9783632053741,273506.3683809721,21.593369923388153,6.561045691752288,43.04732056926127,6577.768558466767,1811.3207983365805,3280883.0344866673,2.5622692489005012,2.9461250057869908,8.679652549723397,0.029875964980499388,0.1408317766864322,0.019833589324657112,0.14007662841041021,0.0882542501940321,0.007788812677310816,-1.2069341e-05,0.20584942,0.042373985,7.5167127e-06,0.1154405,0.013326509,5.161795918367346,1.8044624011132175,3.2560845570312784
268,pop,123.046875,156702,1274.0,0.3661322,0.31039628,0.09634585,0.4337324,0.28512672,0.08129725,0.24002765,0.16037478,0.02572007,9.216793,114.91706,13205.931,-1.11175,42.41033,1798.6361,0.0069236616,2.8610709,8.185727,0.16537778,0.1159857,0.013452682,2549.9870114701052,1153.761031340258,1331164.5174393356,2565.026044036062,700.9767642382525,491368.4240019306,21.64212610368231,7.065963866458044,49.92784536209071,5582.5370764953805,2430.993783372148,5909730.77479403,1.7016763583717132,2.254206808071201,5.081448333554552,0.048640637408257296,0.13821817640888864,0.019104264289798664,0.1114741936556695,0.08376165762941151,0.007016015288826752,-6.9408165e-06,0.15647115,0.02448322,-1.1111844e-05,0.082500726,0.0068063703,9.117315192743764,4.489446427442985,20.15512922488058
269,pop,107.666015625,136395,1274.7196261682243,0.37702575,0.30259264,0.09156231,0.49909166,0.26967505,0.07272463,0.26012495,0.12517327,0.01566835,23.806753,157.14207,24693.633,3.319493,38.526653,1484.303,0.007900004,4.081215,16.656315,0.30037862,0.14496174,0.021013906,2778.2406142375016,1121.3618032917757,1257452.2938817828,2674.749077561903,577.202447921884,333162.6658870151,20.480115661290753,6.895974714046079,47.554467256762905,5832.3438992810325,2071.136841872199,4289607.817760346,3.625275222455115,4.727402766423327,22.34833691598693,0.03395693817359996,0.09622650553244504,0.009259540366985676,0.129159082938274,0.09889005146673537,0.009779242279093568,-3.763369e-05,0.22671121,0.051397976,0.00046712082,0.17131749,0.02934968,2.5170430839002265,1.322710200180559,1.7495622736616947
270,pop,103.359375,128218,1269.4851485148515,0.37683785,0.31653225,0.10019266,0.5021987,0.2867834,0.08224472,0.25498772,0.13533144,0.018314598,22.227135,204.12341,41666.367,2.3211641,36.662746,1344.1569,0.012155624,3.1449025,9.890411,0.27979615,0.14203398,0.020173652,2402.0278283997845,1257.7165480897934,1581850.9153389055,2541.656651980783,839.7517123011073,705182.9383126418,21.715960885932283,7.146891534369232,51.07805860403859,5295.726310800842,2614.1538985894595,6833800.6055104695,2.8341570341020828,3.631416762034781,13.187187699587172,0.01813373428412045,0.12222798065029995,0.0149396792538501,0.09677964910265092,0.0872300265488222,0.007609077531708227,1.5378882e-07,0.21972384,0.048278563,-8.0664824e-05,0.16402292,0.02690352,9.62118820861678,3.3634028164165355,11.312478505478683
271,pop,112.34714673913044,137171,1270.101851851852,0.4370366,0.29746884,0.088487715,0.48932824,0.2909348,0.08464306,0.24747346,0.14862774,0.022090208,24.224562,184.79474,34149.098,4.1150827,39.680653,1574.5542,0.013991102,2.814059,7.9189277,0.29386225,0.13736673,0.018869618,1956.758047686779,797.0822166733499,635340.0601369011,2292.6021603904323,703.806940827648,495344.20995717234,20.427105448467564,7.180846040638461,51.56454985935307,4282.169939637553,1970.7804924320328,3883975.749350646,2.9813926231880004,3.658931083880325,13.387776676585649,0.02538676701577355,0.13655388765944462,0.01864696423490822,0.0740042766181308,0.04987548218779803,0.0024875637234653587,0.000477936,0.252667,0.06384062,-0.0003252053,0.12918241,0.016688097,5.30227664399093,2.625501074904344,6.893255894323866
272,pop,143.5546875,182873,1278.832167832168,0.23747846,0.30164623,0.090990454,0.28419542,0.28635362,0.08199839,0.20104761,0.207155,0.042913195,4.32885,35.530033,1262.3832,-7.146304,60.753223,3690.954,0.012637776,3.24545,10.532947,0.11681933,0.07112485,0.005058745,1597.6253973184334,1041.7262098887259,1085193.4963691297,1885.9090812727463,735.5798716460417,541077.7475708072,23.279117268625956,6.508114958367684,42.3555603113292,3013.0192806846217,2176.2022006292823,4735856.018023731,1.0863354305005428,1.491931640012654,2.225860018470848,-0.038179317570579865,0.20606446659688532,0.04246256439385886,0.06606819459897446,0.058430327389826585,0.003414103158882319,8.731344e-06,0.12119645,0.014688579,-1.1413641e-05,0.037849624,0.0014325941,2.3521814058956916,1.4643693440115833,2.1443775756809145
273,pop,83.35433467741936,105042,1296.8148148148148,0.38655114,0.30246285,0.091483764,0.44792315,0.2581896,0.066661865,0.25668624,0.13208137,0.01744549,15.125571,88.47612,7828.0234,1.8148335,48.175472,2320.8762,0.0036287848,3.5969365,12.937951,0.23660009,0.115654185,0.01337589,2060.583995217795,1041.1327381768813,1083957.3785036905,2223.637309522303,714.2280692529392,510121.73490878136,20.664748012555705,7.059408886585603,49.83525382800377,4197.487118369655,2210.329386641,4885555.997448779,2.967098875997543,4.024644273088741,16.197761524906,-0.011337173724827461,0.10295626843741827,0.010599993210557731,0.08904575784878097,0.0669929896542449,0.004488060662813764,-3.1048964e-07,0.18413728,0.033906538,8.579001e-05,0.12987219,0.016866785,4.203972789115647,2.3351295482094745,5.452830006920985
274,pop,112.34714673913044,141475,1458.5051546391753,0.2811984,0.30381197,0.09230172,0.32372165,0.27470464,0.07546263,0.21459724,0.19308381,0.037281357,6.7966785,82.33786,6779.5234,-5.4892583,59.96556,3595.8684,0.012055562,2.3571403,5.556111,0.1457953,0.09246937,0.008550585,1721.4685700041916,1256.9108656534245,1579824.924197641,2023.82064706954,1206.373853770081,1455337.875060077,23.99662677974721,5.973485943050059,35.68253431181665,3865.5432922552245,3111.7310452004717,9682870.097664421,1.276474384601848,1.7518420711135052,3.068950642123255,-0.003671143046935099,0.18243419018763213,0.033282233749417134,0.0669965714493034,0.055072664050575426,0.003032998325627543,-2.945492e-06,0.15113612,0.022842124,9.073622e-06,0.055472773,0.0030772283,5.102585034013606,3.2011541421645338,10.247387841897153
275,pop,78.30255681818181,96595,1270.9868421052631,0.37686372,0.3128891,0.097899586,0.36612377,0.28479266,0.08110686,0.23330452,0.17000689,0.028902339,15.624716,117.15806,13726.011,4.0247936,38.52206,1483.9492,0.014660926,3.958466,15.669453,0.23989904,0.10923747,0.011932825,2331.313789689716,978.2487323997717,956970.5824417601,2638.974868129307,598.9222445861303,358707.85506008845,20.8584084095811,8.006096433652015,64.0975801049355,5333.3552499304615,2101.0489166463326,4414406.550140728,2.444986636800003,3.280951458098741,10.764642470400256,-0.04185174623332784,0.1711453062104484,0.02929071583786815,0.06797540150928792,0.04884078586748651,0.0023854223641536698,-7.977783e-07,0.195934,0.038390134,6.5556e-05,0.13171272,0.017348241,2.276716553287982,1.0745214339941067,1.1545963121127514
276,pop,123.046875,150271,1284.3675213675215,0.45290247,0.30887452,0.09540346,0.39988497,0.27265385,0.07434013,0.235334,0.16718625,0.027951242,17.074835,215.85321,46592.61,2.0931525,40.531307,1642.7867,0.01354774,4.796093,23.002508,0.23514852,0.1421183,0.020197613,2345.958115592758,1205.583659293171,1453431.9595547128,2397.7461861278643,589.3792810953764,347367.9369845027,20.42289343337107,7.055623688723257,49.78182563687278,4822.529172159201,2211.203295618717,4889420.014555077,2.0847245908949996,2.747577728101721,7.549183371960613,0.04740571049420779,0.08972917486887104,0.008051324822648438,0.09908689138690016,0.08790963177505781,0.007728103358826255,2.1637235e-05,0.2061988,0.042517945,-9.603674e-05,0.122364774,0.0149731375,3.4075283446712015,1.4296568692835114,2.0439187638895313
277,pop,107.666015625,136155,1361.55,0.35877076,0.3037035,0.0922358,0.5044826,0.26763195,0.07162686,0.2522546,0.14036003,0.019700939,12.812009,140.07121,19619.943,-1.543182,50.768856,2577.4766,0.008953336,2.84879,8.115604,0.19763921,0.12963971,0.016806455,1750.3523501835034,967.6131246002121,936275.1588985856,2241.0482118278,746.8021098402183,557713.3912618016,22.28158510277591,6.339595056383358,40.19046547892031,3703.944269422407,2325.5269747863213,5408075.710458819,1.9192307250897889,2.791919274367281,7.794813234583524,0.0019811518484690316,0.12087009310858034,0.01460957940807688,0.06107956263303019,0.05055350510677392,0.002555656878580617,1.7150951e-05,0.164826,0.027167615,-1.2164598e-05,0.1316248,0.017325088,8.736507936507937,2.471958845829856,6.110580535476473
